setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[0.74453538 0.50859953 0.21173982 0.17249627 0.79482654 0.81875363
 0.25747545 0.48382277 0.24148215 0.71851426 0.97808957 0.97808957
 0.11135888 0.48382277 0.43609338 0.17249627 0.10315938 0.84163603
 0.53390728 0.74453538 0.32916807 0.61225166 0.27423335 0.17249627
 0.14969106 0.25747545 0.14969106 0.90235528 0.50859953 0.14969106
 0.96996014 0.98957839 0.77002924 0.01487416 0.48382277 0.18488568
 0.79482654 0.21173982 0.19796045 0.1200888  0.90235528 0.77002924
 0.06383124 0.48382277 0.27423335 0.90235528 0.43609338 0.16077182
 0.36968362 0.43609338]","[0.43609338 0.27423335 0.16077182 0.03809482 0.77002924 0.79482654
 0.39108739 0.74453538 0.09546732 0.63886042 0.41323244 0.77002924
 0.18488568 0.36968362 0.99328163 0.24148215 0.16077182 0.63886042
 0.48382277 0.77002924 0.66552932 0.66552932 0.24148215 0.27423335
 0.3490397  0.88359176 0.29176485 0.91946676 0.43609338 0.32916807
 0.77002924 0.41323244 0.21173982 0.01100057 0.58582128 0.3490397
 0.66552932 0.41323244 0.96007647 0.06383124 0.90235528 0.66552932
 0.12937218 0.58582128 0.24148215 0.94837208 0.45963725 0.39108739
 0.84163603 0.3490397 ]",0.4675624479749431,0.48767685011338135,0.298530424965295,0.27292464616914175
df1,0.05,0.0,0.05,"[0.36968362 0.01346465 0.139232   0.03181713 0.03483221 0.63886042
 0.05871658 0.00212592 0.48382277 0.18488568 0.50859953 0.27423335
 0.55967522 0.16077182 0.24148215 0.53390728 0.39108739 0.97808957
 0.43609338 0.00585634 0.02903392 0.00992823 0.16077182 0.06932183
 0.45963725 0.25747545 0.32916807 0.88359176 0.22624166 0.45963725
 0.32916807 0.39108739 0.74453538 0.3490397  0.09546732 0.06932183
 0.90235528 0.43609338 0.63886042 0.53390728 0.00377043 0.02410401
 0.19796045 0.06383124 0.12937218 0.8633028  0.79482654 0.03809482
 0.32916807 0.55967522]","[0.55967522 0.01487416 0.11135888 0.03483221 0.06932183 0.55967522
 0.08151459 0.00238884 0.91946676 0.27423335 0.91946676 0.27423335
 0.48382277 0.1200888  0.88359176 0.8633028  0.79482654 0.91946676
 0.39108739 0.09546732 0.19796045 0.03181713 0.32916807 0.07520917
 0.25747545 0.25747545 0.43609338 0.81875363 0.25747545 0.21173982
 0.0416213  0.04542867 0.99875113 0.90235528 0.139232   0.19796045
 0.74453538 0.16077182 0.69212796 0.98957839 0.03181713 0.0539576
 0.12937218 0.22624166 0.41323244 0.90235528 0.81875363 0.07520917
 0.55967522 0.63886042]",0.3285197216016642,0.4001540076796001,0.27307816328767565,0.3324431199704645
df1,0.1,0.0,0.1,"[7.25488863e-03 4.13232440e-01 3.29168072e-01 1.03159376e-01
 2.41040115e-02 1.84885683e-01 3.36894521e-03 1.03159376e-01
 2.12592488e-03 1.67194217e-04 2.19294824e-02 9.58129418e-05
 2.19294824e-02 5.87165796e-02 2.19534247e-04 4.54286666e-02
 2.58137431e-05 2.12592488e-03 8.79830246e-06 2.26241661e-01
 3.48322136e-02 4.83822766e-01 4.70847031e-03 1.89004559e-03
 3.18171260e-02 8.95145539e-03 1.29372179e-01 8.06755085e-04
 8.06755085e-04 3.73964604e-04 4.95346404e-02 2.87103585e-04
 3.00718998e-03 8.82599083e-02 7.20954134e-05 1.49691056e-01
 6.52148041e-03 5.39576008e-02 5.39576008e-02 8.41636027e-01
 7.52091658e-02 6.52148041e-03 1.02917236e-05 6.93218252e-02
 1.34646549e-02 2.12592488e-03 2.74233349e-01 1.80967606e-02
 4.16212987e-02 2.68158880e-03]","[1.89004559e-03 1.03159376e-01 8.41636027e-01 2.57475452e-01
 1.11358879e-01 3.10075730e-01 1.32017364e-03 1.60771824e-01
 2.38884447e-03 2.68158880e-03 6.93218252e-02 1.10287908e-04
 2.41482152e-01 3.18171260e-02 7.25488863e-03 6.93218252e-02
 1.48940867e-03 5.25376643e-03 7.51402754e-06 2.11739817e-01
 2.26241661e-01 4.59637254e-01 8.95145539e-03 1.10005675e-02
 4.21554189e-03 2.90339156e-02 3.49039701e-01 2.19294824e-02
 1.80967606e-02 2.38884447e-03 9.54673207e-02 4.85152370e-04
 3.48322136e-02 2.41482152e-01 1.89004559e-03 6.93218252e-02
 8.15145929e-02 1.20088801e-01 1.29372179e-01 8.41636027e-01
 1.60771824e-01 1.29372179e-01 1.40396435e-05 6.38312357e-02
 3.48322136e-02 1.34646549e-02 9.34827271e-01 4.16212987e-02
 1.20088801e-01 2.22014992e-05]",0.07989880879833108,0.13352055525855344,0.15242657994660427,0.21382408009849865
df1,0.15000000000000002,0.0,0.15000000000000002,"[3.27672622e-09 2.41040115e-02 1.21765095e-02 2.99835482e-05
 8.06755085e-04 4.85152370e-04 3.27832948e-04 1.63732496e-05
 5.25376643e-03 1.64147482e-02 4.03308445e-05 4.03308445e-05
 6.41076366e-06 5.85633896e-03 6.41076366e-06 2.05084189e-06
 5.85633896e-03 1.63732496e-05 1.48940867e-03 3.77043497e-03
 6.52148041e-03 1.90755446e-05 1.67865304e-03 8.31541824e-05
 2.87103585e-04 2.19534247e-04 7.25488863e-03 1.10287908e-04
 4.26159664e-04 2.19294824e-02 3.36269816e-06 2.33983459e-08
 2.19534247e-04 7.11507895e-04 2.38884447e-03 6.24445815e-05
 1.89004559e-03 1.03408932e-03 4.70847031e-03 5.24820678e-07
 3.36894521e-03 6.52148041e-03 1.90755446e-05 1.81007354e-07
 6.02037032e-08 2.51182002e-04 7.20954134e-05 8.06755085e-04
 4.85152370e-04 7.11507895e-04]","[1.20265345e-05 1.34646549e-02 3.48322136e-02 3.80948244e-02
 1.67865304e-03 3.80948244e-02 2.87103585e-04 4.67045972e-05
 3.48322136e-02 9.92823487e-03 1.16899447e-03 1.21765095e-02
 7.11507895e-04 4.70847031e-03 6.24445815e-05 1.26822204e-04
 3.18171260e-02 2.87103585e-04 3.77043497e-03 5.25376643e-03
 2.64676308e-02 1.67194217e-04 9.92823487e-03 3.00718998e-03
 5.51757155e-04 7.11507895e-04 1.72496272e-01 1.10287908e-04
 1.16899447e-03 2.57475452e-01 1.10005675e-02 4.99357648e-08
 6.52148041e-03 5.25376643e-03 1.34646549e-02 5.51757155e-04
 4.16212987e-02 6.52148041e-03 2.41040115e-02 1.20265345e-05
 1.29372179e-01 5.87165796e-02 1.40396435e-05 8.81579698e-07
 1.25918603e-07 2.19534247e-04 4.21554189e-03 6.52148041e-03
 1.03408932e-03 2.12592488e-03]",0.002769693341148863,0.020294212498847976,0.0052847229718631485,0.04606166706474867
df1,0.2,0.0,0.2,"[2.51182002e-04 2.51182002e-04 1.59199965e-08 3.36269816e-06
 1.02917236e-05 2.42077577e-06 7.28113471e-09 5.51757155e-04
 4.40608072e-07 3.36269816e-06 1.04585220e-06 6.02037032e-08
 5.46398884e-06 2.05084189e-06 1.20265345e-05 3.47919250e-05
 3.83661921e-15 2.33983459e-08 4.13773042e-08 9.59715417e-10
 1.23948622e-06 1.04585220e-06 3.27832948e-04 5.40313022e-05
 1.31118659e-08 1.93824891e-11 2.16691945e-07 8.81579698e-07
 1.63732496e-05 2.22014992e-05 4.00670801e-09 9.19151252e-11
 4.65235514e-06 1.02917236e-05 5.97265054e-09 3.09615598e-07
 1.46749215e-06 1.04864874e-07 1.81007354e-07 1.59199965e-08
 2.58137431e-05 4.99357648e-08 1.42091476e-10 1.93100400e-08
 2.16691945e-07 1.81007354e-07 3.27832948e-04 3.47919250e-05
 5.97265054e-09 2.99835482e-05]","[3.36894521e-03 2.51182002e-04 6.26876255e-04 1.45688880e-04
 1.32017364e-03 2.51182002e-04 1.04585220e-06 1.34646549e-02
 3.36269816e-06 9.13835051e-04 8.72433497e-08 5.40313022e-05
 8.06755085e-04 5.51757155e-04 6.26876255e-04 1.03408932e-03
 1.74328977e-15 5.46398884e-06 2.05084189e-06 2.85456402e-06
 2.99835482e-05 1.40396435e-05 5.85633896e-03 7.25488863e-03
 2.58137431e-05 2.05084189e-06 1.73569175e-06 1.63732496e-05
 2.38884447e-03 1.02917236e-05 3.36269816e-06 1.31118659e-08
 1.32017364e-03 2.99835482e-05 2.83236331e-08 3.95729931e-06
 5.46398884e-06 1.20265345e-05 1.91681353e-04 3.36269816e-06
 9.58129418e-05 1.18065325e-09 2.18488808e-09 4.89436847e-09
 1.20265345e-05 1.23948622e-06 9.13835051e-04 3.27832948e-04
 8.79830246e-06 5.51757155e-04]",3.978583921161319e-05,0.0008502527330274321,0.0001071950055573727,0.002270308838096602
df1,0.25,0.0,0.25,"[9.59715417e-10 2.59150246e-07 6.45842239e-15 1.59199965e-08
 6.18553174e-12 2.81965513e-13 1.92461767e-12 7.25098046e-08
 4.89436847e-09 4.99357648e-08 4.65235514e-06 4.74591296e-11
 7.28113471e-09 1.04864874e-07 1.19798113e-12 2.42826791e-11
 2.18488808e-09 5.24820678e-07 8.79830246e-06 3.03909276e-11
 1.08277464e-14 2.67703473e-09 8.36667685e-15 8.81579698e-07
 4.58538879e-13 1.42091476e-10 4.99357648e-08 2.83236331e-08
 7.25098046e-08 7.79334122e-10 4.40608072e-07 6.41076366e-06
 1.18065325e-09 1.93100400e-08 2.83236331e-08 1.45098666e-09
 9.59715417e-10 1.76400398e-10 3.03909276e-11 5.92172623e-11
 1.39985076e-14 8.72433497e-08 9.19151252e-11 2.67703473e-09
 7.79334122e-10 1.19798113e-12 1.02917236e-05 2.83236331e-08
 1.23948622e-06 7.42361542e-07]","[6.02037032e-08 3.69535722e-07 6.39848579e-14 1.20265345e-05
 7.79334122e-10 1.93100400e-08 1.93100400e-08 1.23948622e-06
 1.04585220e-06 3.36269816e-06 1.26822204e-04 2.33983459e-08
 5.24820678e-07 2.58137431e-05 4.89436847e-09 2.05084189e-06
 3.47919250e-05 2.51182002e-04 1.90755446e-05 1.31118659e-08
 1.19798113e-12 8.72433497e-08 9.19151252e-11 7.42361542e-07
 2.83236331e-08 3.09615598e-07 6.41076366e-06 2.05084189e-06
 2.58137431e-05 3.09615598e-07 1.63732496e-05 3.73964604e-04
 1.04864874e-07 1.25918603e-07 1.73569175e-06 1.04864874e-07
 2.16691945e-07 8.72433497e-08 3.42511079e-08 3.35473948e-10
 1.54554888e-11 1.67194217e-04 3.42511079e-08 8.72433497e-08
 5.97265054e-09 1.59199965e-08 2.19534247e-04 6.24499263e-07
 4.40608072e-07 2.51182002e-04]",6.964957859730295e-07,3.092130978808835e-05,2.1225233508528476e-06,7.922740739091414e-05
df1,0.30000000000000004,0.0,0.30000000000000004,"[3.83661921e-15 7.38137688e-11 1.42091476e-10 3.87118023e-14
 8.21358136e-14 2.33983459e-08 2.20772463e-13 1.92461767e-12
 2.71047184e-10 4.58740572e-16 1.76400398e-10 3.95007214e-19
 6.39848579e-14 1.78141737e-09 1.76400398e-10 1.34933703e-13
 1.42091476e-10 2.20772463e-13 3.88941584e-12 1.17682447e-16
 6.32216726e-10 1.45098666e-09 2.81965513e-13 4.90739183e-12
 2.26988766e-15 2.03413945e-16 2.18772050e-10 8.93744884e-17
 3.35473948e-10 1.14339735e-10 1.51920849e-12 7.28113471e-09
 3.59754634e-13 2.99835482e-05 1.92461767e-12 1.05328756e-13
 1.42091476e-10 3.59754634e-13 3.79972059e-11 3.88941584e-12
 3.60824945e-20 1.70510155e-18 7.84899525e-16 2.42826791e-11
 2.93930826e-19 1.54554888e-11 7.78867068e-12 7.42666811e-13
 1.26570821e-17 1.26570821e-17]","[1.93824891e-11 1.81007354e-07 1.18065325e-09 1.93824891e-11
 9.59715417e-10 2.59150246e-07 9.79737413e-12 8.86732425e-09
 2.05084189e-06 1.19798113e-12 8.86732425e-09 3.50171296e-16
 5.12353012e-10 5.40313022e-05 3.09615598e-07 1.93100400e-08
 1.45098666e-09 1.04864874e-07 8.72433497e-08 1.51920849e-12
 1.81007354e-07 1.04585220e-06 4.13773042e-08 3.35473948e-10
 2.18772050e-10 1.54554888e-11 4.40608072e-07 5.12353012e-10
 8.72433497e-08 1.81007354e-07 1.23116467e-11 4.03308445e-05
 3.07948375e-12 1.80967606e-02 3.27672622e-09 7.38137688e-11
 8.86732425e-09 3.79972059e-11 1.07881685e-08 4.13773042e-08
 1.92461767e-12 1.34933703e-13 2.43574207e-12 1.51046944e-07
 7.17482117e-18 7.25098046e-08 6.02037032e-08 5.12353012e-10
 4.00670801e-09 7.78867068e-12]",6.003998206993788e-07,0.0003639297520660358,4.197594008106037e-06,0.0025332787203872645
df1,0.35000000000000003,0.0,0.35000000000000003,"[5.30299497e-19 1.64503886e-29 2.22374207e-17 8.36667685e-15
 1.33672873e-23 9.61617488e-24 2.33262567e-14 1.06757971e-26
 8.21358136e-14 6.83217462e-23 1.27528784e-18 6.00359848e-16
 8.21358136e-14 1.05328756e-13 3.50171296e-16 6.60370667e-20
 2.54904105e-24 6.64674147e-25 2.27745029e-18 7.11203305e-19
 4.98033280e-15 1.54554888e-11 1.80794013e-14 6.60370667e-20
 2.94303610e-17 6.91059303e-24 3.83661921e-15 3.89102510e-17
 2.26988766e-15 3.83661921e-15 4.58740572e-16 1.44619791e-20
 3.00652497e-14 2.67024896e-16 1.92461767e-12 2.22374207e-17
 2.22374207e-17 2.03413945e-16 3.59754634e-13 9.79737413e-12
 9.53441021e-18 1.14339735e-10 3.00652497e-14 3.83661921e-15
 2.18494984e-19 4.05057199e-18 1.20365650e-19 4.58740572e-16
 2.18494984e-19 3.55797286e-24]","[6.39848579e-14 1.62253462e-19 4.14795066e-10 5.12353012e-10
 4.05057199e-18 1.70510155e-18 1.14339735e-10 5.13913233e-17
 1.59199965e-08 8.93744884e-17 4.58538879e-13 3.07948375e-12
 2.71047184e-10 1.45098666e-09 9.43717929e-13 2.81965513e-13
 1.92461767e-12 2.47371214e-22 2.95255083e-15 5.83855471e-13
 3.79972059e-11 4.00670801e-09 5.92172623e-11 1.02511949e-15
 6.18553174e-12 2.27745029e-18 1.54554888e-11 1.39985076e-14
 1.78141737e-09 9.59715417e-10 9.43717929e-13 2.03413945e-16
 9.19151252e-11 1.34933703e-13 1.93100400e-08 7.42666811e-13
 8.21358136e-14 1.07881685e-08 3.35473948e-10 1.07881685e-08
 1.72684385e-13 5.24820678e-07 6.32216726e-10 2.42826791e-11
 2.43574207e-12 7.78867068e-12 4.58740572e-16 2.20772463e-13
 2.20772463e-13 3.83661921e-15]",2.8455545232499277e-12,1.1847225166575184e-08,1.6129127468050705e-11,7.338954976627488e-08
df1,0.4,0.0,0.4,"[1.92461767e-12 2.66308246e-20 6.78067547e-17 3.03881495e-18
 7.17482117e-18 1.82433512e-24 6.91059303e-24 3.55797286e-24
 1.17682447e-16 1.82433512e-24 4.96114708e-24 4.67812431e-22
 8.93744884e-17 1.30270202e-22 7.82155399e-21 1.21017203e-25
 7.82155399e-21 8.95402666e-28 1.24351631e-31 6.42340318e-22
 6.00359848e-16 8.92004797e-20 2.33262567e-14 7.51579753e-27
 2.66308246e-20 2.18494984e-19 5.30299497e-19 2.27745029e-18
 2.22374207e-17 8.58131384e-26 4.97944383e-14 3.40355762e-22
 1.21017203e-25 1.33749750e-15 1.33672873e-23 1.02784044e-28
 6.64674147e-25 6.83217462e-23 2.39934411e-25 8.92004797e-20
 2.03413945e-16 9.43897459e-23 7.51579753e-27 8.92004797e-20
 1.20365650e-19 3.40355762e-22 8.92004797e-20 3.40355762e-22
 9.52846065e-19 1.20365650e-19]","[7.42361542e-07 1.17682447e-16 3.79972059e-11 4.98033280e-15
 5.12353012e-10 1.26570821e-17 3.50171296e-16 5.83855471e-13
 3.03909276e-11 5.30299497e-19 6.00359848e-16 2.95255083e-15
 1.51046944e-07 5.39368124e-18 6.39848579e-14 1.26570821e-17
 1.33749750e-15 2.18494984e-19 3.08714081e-21 4.97944383e-14
 1.42091476e-10 1.74328977e-15 3.27672622e-09 4.58740572e-16
 4.90739183e-12 2.33262567e-14 1.80794013e-14 8.36667685e-15
 1.93824891e-11 1.96348850e-20 1.72684385e-13 4.98033280e-15
 2.03413945e-16 6.32216726e-10 6.39848579e-14 3.03881495e-18
 1.17682447e-16 3.95007214e-19 7.84899525e-16 6.18553174e-12
 3.79972059e-11 2.26988766e-15 3.95007214e-19 1.33749750e-15
 1.05328756e-13 7.84899525e-16 9.43717929e-13 1.02511949e-15
 6.00359848e-16 6.18553174e-12]",4.0003831962292724e-14,1.796233953728748e-08,2.693385847385022e-13,1.0562149204771857e-07
df1,0.45,0.0,0.45,"[3.55797286e-24 3.55797286e-24 1.85625733e-23 2.54904105e-24
 4.73751051e-25 8.33270257e-33 8.95402666e-28 1.53384053e-37
 2.39934411e-25 1.79605588e-22 5.30672790e-34 1.21132482e-30
 1.13678721e-29 1.96348850e-20 3.89924968e-31 6.25831333e-28
 2.66678482e-31 2.60622931e-27 1.51487883e-26 1.17682447e-16
 5.28569498e-27 4.21288896e-21 2.47371214e-22 7.19492833e-35
 1.21017203e-25 2.56565447e-30 3.43417798e-29 1.30270202e-22
 2.54904105e-24 3.56590826e-34 2.67038982e-32 3.71348188e-27
 1.70487812e-25 7.88918156e-34 1.06757971e-26 1.02784044e-28
 5.41174667e-30 4.36966274e-28 6.64674147e-25 4.36966274e-28
 3.43417798e-29 1.76381982e-30 1.85625733e-23 3.55797286e-24
 7.17482117e-18 7.88918156e-34 4.95418960e-29 3.55797286e-24
 8.58131384e-26 6.07873598e-26]","[7.84899525e-16 6.00359848e-16 1.17682447e-16 2.67024896e-16
 3.89102510e-17 4.05057199e-18 2.94303610e-17 3.72814291e-30
 8.81076169e-22 2.95255083e-15 2.57505865e-23 1.30432533e-24
 3.60824945e-20 6.39848579e-14 7.11203305e-19 7.17482117e-18
 3.03881495e-18 5.39368124e-18 3.50171296e-16 2.20772463e-13
 9.52846065e-19 4.98033280e-15 5.30299497e-19 2.47371214e-22
 4.05057199e-18 1.44619791e-20 3.56853685e-23 3.83661921e-15
 1.02511949e-15 3.55797286e-24 2.67024896e-16 2.94303610e-17
 1.17682447e-16 3.08714081e-21 7.11203305e-19 1.27528784e-18
 2.93930826e-19 2.93930826e-19 1.20365650e-19 2.47371214e-22
 2.93930826e-19 1.20365650e-19 1.33749750e-15 4.97944383e-14
 4.58538879e-13 6.78067547e-17 3.40355762e-22 2.94303610e-17
 1.26570821e-17 3.40355762e-22]",2.4976346377533043e-18,1.6199286727685473e-14,1.6485586398554548e-17,7.106383707130796e-14
