setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[0.41323244 0.63886042 0.24148215 0.02903392 0.43609338 0.53390728
 0.81875363 0.79482654 0.77002924 0.88359176 0.53390728 0.39108739
 0.39108739 0.58582128 0.96996014 0.29176485 0.74453538 0.69212796
 0.69212796 0.61225166 0.29176485 0.25747545 0.18488568 0.05871658
 0.71851426 0.07520917 0.12937218 0.53390728 0.63886042 0.88359176
 0.91946676 0.01487416 0.63886042 0.12937218 0.63886042 0.58582128
 0.25747545 0.90235528 0.88359176 0.10315938 0.98957839 0.96996014
 0.06932183 0.21173982 0.97808957 0.71851426 0.29176485 0.66552932
 0.99973335 0.17249627]","[0.29176485 0.45963725 0.36968362 0.21173982 0.11135888 0.43609338
 0.91946676 0.88359176 0.91946676 0.71851426 0.77002924 0.99328163
 0.25747545 0.45963725 0.25747545 0.3490397  0.45963725 0.66552932
 0.90235528 0.27423335 0.88359176 0.94837208 0.02410401 0.94837208
 0.29176485 0.22624166 0.93482727 0.84163603 0.55967522 0.58582128
 0.90235528 0.18488568 0.98457739 0.39108739 0.98457739 0.39108739
 0.96007647 0.93482727 0.66552932 0.29176485 0.97808957 0.21173982
 0.39108739 0.39108739 0.06932183 0.58582128 0.14969106 0.17249627
 0.66552932 0.0416213 ]",0.5275468906804036,0.546033422650169,0.30385805813042904,0.31220855272370523
df1,0.05,0.0,0.05,"[0.63886042 0.02646763 0.19796045 0.22624166 0.69212796 0.77002924
 0.18488568 0.00336895 0.29176485 0.55967522 0.84163603 0.14969106
 0.27423335 0.14969106 0.71851426 0.16077182 0.55967522 0.84163603
 0.45963725 0.21173982 0.19796045 0.22624166 0.61225166 0.58582128
 0.84163603 0.77002924 0.63886042 0.22624166 0.31007573 0.39108739
 0.16077182 0.01100057 0.88359176 0.63886042 0.31007573 0.32916807
 0.43609338 0.01641475 0.66552932 0.90235528 0.55967522 0.01100057
 0.3490397  0.55967522 0.06932183 0.74453538 0.43609338 0.12937218
 0.58582128 0.45963725]","[0.94837208 0.88359176 0.79482654 0.55967522 0.55967522 0.50859953
 0.24148215 0.08151459 0.99765093 0.08825991 0.29176485 0.79482654
 0.12937218 0.12937218 0.31007573 0.94837208 0.43609338 0.79482654
 0.11135888 0.74453538 0.39108739 0.1200888  0.77002924 0.96996014
 0.53390728 0.55967522 0.58582128 0.27423335 0.88359176 0.25747545
 0.01993114 0.48382277 0.24148215 0.25747545 0.58582128 0.3490397
 0.02410401 0.3490397  0.97808957 0.53390728 0.0539576  0.48382277
 0.50859953 0.8633028  0.79482654 0.91946676 0.58582128 0.01100057
 0.63886042 0.09546732]",0.42033693068030187,0.489559084089544,0.2672750600583252,0.30489445001298615
df1,0.1,0.0,0.1,"[7.25488863e-03 4.54286666e-02 1.20088801e-01 8.63302804e-01
 6.38860419e-01 4.13232440e-01 1.34646549e-02 8.83591758e-01
 1.60771824e-01 1.64147482e-02 4.59637254e-01 3.48322136e-02
 9.19466758e-01 3.49039701e-01 3.77043497e-03 2.74233349e-01
 1.34646549e-02 5.33907283e-01 1.91681353e-04 7.44535382e-01
 4.36093382e-01 6.12251659e-01 3.80948244e-02 1.97960446e-01
 3.80948244e-02 1.29372179e-01 5.08599525e-01 1.11358879e-01
 4.59637254e-01 2.90339156e-02 6.12251659e-01 4.83822766e-01
 8.15145929e-02 6.38860419e-01 2.41040115e-02 4.13232440e-01
 7.44535382e-01 1.03159376e-01 5.59675216e-01 6.65529322e-01
 7.44535382e-01 9.02355278e-01 1.91681353e-04 6.93218252e-02
 5.33907283e-01 3.18171260e-02 9.34827271e-01 2.26241661e-01
 4.59637254e-01 7.11507895e-04]","[0.8633028  0.58582128 0.02192948 0.91946676 0.58582128 0.8633028
 0.17249627 0.84163603 0.1200888  0.06932183 0.94837208 0.55967522
 0.79482654 0.69212796 0.02646763 0.74453538 0.8633028  0.53390728
 0.00336895 0.45963725 0.43609338 0.63886042 0.00470847 0.61225166
 0.66552932 0.39108739 0.08825991 0.06383124 0.139232   0.24148215
 0.16077182 0.50859953 0.71851426 0.32916807 0.93482727 0.41323244
 0.41323244 0.32916807 0.27423335 0.21173982 0.90235528 0.43609338
 0.91946676 0.06383124 0.1200888  0.12937218 0.139232   0.69212796
 0.8633028  0.09546732]",0.34572436121551225,0.45211138297476494,0.3061068624955773,0.31079069717343927
df1,0.15000000000000002,0.0,0.15000000000000002,"[2.38884447e-03 6.38860419e-01 3.49039701e-01 1.11358879e-01
 8.06268875e-03 2.26241661e-01 4.13232440e-01 1.89004559e-03
 1.11358879e-01 5.39576008e-02 2.41040115e-02 8.15145929e-02
 1.11358879e-01 1.84885683e-01 8.15145929e-02 3.77043497e-03
 3.91087390e-01 2.41040115e-02 9.54673207e-02 1.20088801e-01
 3.80948244e-02 6.93218252e-02 4.59637254e-01 9.54673207e-02
 2.41482152e-01 4.16212987e-02 3.91087390e-01 1.64147482e-02
 2.91764847e-01 4.83822766e-01 1.39231997e-01 1.45688880e-04
 5.39576008e-02 7.25488863e-03 2.26241661e-01 5.85633896e-03
 3.69683622e-01 3.49039701e-01 4.13232440e-01 2.51182002e-04
 1.84885683e-01 6.92127962e-01 5.85633896e-03 6.52148041e-03
 2.19534247e-04 1.64147482e-02 8.15145929e-02 5.87165796e-02
 1.21765095e-02 1.80967606e-02]","[0.39108739 0.3490397  0.98457739 0.18488568 0.84163603 0.22624166
 0.06383124 0.69212796 0.1200888  0.29176485 0.58582128 0.08825991
 0.1200888  0.29176485 0.01346465 0.10315938 0.90235528 0.61225166
 0.79482654 0.10315938 0.96007647 0.8633028  0.08151459 0.94837208
 0.11135888 0.29176485 0.61225166 0.66552932 0.41323244 0.90235528
 0.31007573 0.09546732 0.66552932 0.27423335 0.0539576  0.61225166
 0.29176485 0.61225166 0.50859953 0.10315938 0.45963725 0.53390728
 0.32916807 0.81875363 0.00992823 0.50859953 0.50859953 0.53390728
 0.14969106 0.08151459]",0.15608853221308228,0.4214237526604919,0.17805243380279936,0.2947519988459211
df1,0.2,0.0,0.2,"[2.90339156e-02 2.19294824e-02 2.57475452e-01 2.38884447e-03
 1.34646549e-02 1.60771824e-01 3.36894521e-03 2.26241661e-01
 1.89004559e-03 4.54286666e-02 8.31541824e-05 4.70847031e-03
 1.34646549e-02 5.85633896e-03 1.10005675e-02 8.95145539e-03
 6.24499263e-07 4.85152370e-04 2.12592488e-03 5.25376643e-03
 3.48322136e-02 1.48741570e-02 3.29168072e-01 4.83822766e-01
 2.19294824e-02 5.25376643e-03 8.06268875e-03 1.48741570e-02
 2.74233349e-01 1.99311438e-02 1.45688880e-04 8.31541824e-05
 1.72496272e-01 5.85633896e-03 6.26876255e-04 3.27832948e-04
 1.16899447e-03 1.03408932e-03 1.10005675e-02 7.11507895e-04
 3.36894521e-03 1.73569175e-06 2.99835482e-05 1.02917236e-05
 1.67865304e-03 1.03408932e-03 9.92823487e-03 2.26241661e-01
 3.00718998e-03 1.03159376e-01]","[0.43609338 0.24148215 0.16077182 0.58582128 0.12937218 0.58582128
 0.8633028  0.17249627 0.0416213  0.96007647 0.01993114 0.27423335
 0.66552932 0.97808957 0.55967522 0.48382277 0.01346465 0.00421554
 0.09546732 0.0416213  0.0416213  0.55967522 0.48382277 0.77002924
 0.50859953 0.02903392 0.39108739 0.96007647 0.53390728 0.93482727
 0.53390728 0.32916807 0.21173982 0.18488568 0.07520917 0.03181713
 0.17249627 0.61225166 0.24148215 0.61225166 0.00585634 0.07520917
 0.63886042 0.3490397  0.18488568 0.03809482 0.18488568 0.19796045
 0.71851426 0.139232  ]",0.051256337564567926,0.3612667377869924,0.10277713580219844,0.2938094497441374
df1,0.25,0.0,0.25,"[1.10287908e-04 1.02917236e-05 4.03308445e-05 1.48741570e-02
 6.24445815e-05 2.51182002e-04 2.38884447e-03 2.51182002e-04
 6.41076366e-06 2.64676308e-02 1.48940867e-03 4.67045972e-05
 6.52148041e-03 1.60771824e-01 1.48940867e-03 1.89004559e-03
 2.68158880e-03 4.95346404e-02 1.34646549e-02 1.91681353e-04
 3.09615598e-07 1.32017364e-03 2.99835482e-05 1.32017364e-03
 1.45688880e-04 1.91681353e-04 7.25488863e-03 2.64676308e-02
 6.93218252e-02 4.67045972e-05 9.92823487e-03 1.64147482e-02
 1.90755446e-05 1.48940867e-03 1.20265345e-05 2.22014992e-05
 2.51182002e-04 1.90755446e-05 4.85152370e-04 8.79830246e-06
 1.04585220e-06 6.38312357e-02 6.41076366e-06 1.16899447e-03
 1.89004559e-03 8.31541824e-05 2.64676308e-02 2.68158880e-03
 6.52148041e-03 5.85633896e-03]","[0.10315938 0.00268159 0.14969106 0.00585634 0.24148215 0.06932183
 0.53390728 0.16077182 0.69212796 0.24148215 0.17249627 0.19796045
 0.12937218 0.19796045 0.00525377 0.08825991 0.48382277 0.90235528
 0.79482654 0.04542867 0.12937218 0.06932183 0.02646763 0.71851426
 0.81875363 0.18488568 0.06932183 0.32916807 0.79482654 0.81875363
 0.11135888 0.16077182 0.07520917 0.79482654 0.139232   0.17249627
 0.88359176 0.27423335 0.48382277 0.74453538 0.21173982 0.48382277
 0.21173982 0.10315938 0.18488568 0.04953464 0.17249627 0.07520917
 0.03181713 0.50859953]",0.01051602176793708,0.3010137044612811,0.02635727781737674,0.28008652781722065
df1,0.30000000000000004,0.0,0.30000000000000004,"[3.73964604e-04 1.48940867e-03 2.87103585e-04 4.65235514e-06
 1.16899447e-03 4.26159664e-04 7.25098046e-08 2.68158880e-03
 9.92823487e-03 1.25918603e-07 9.58129418e-05 1.23948622e-06
 1.45688880e-04 2.41040115e-02 1.67865304e-03 9.58129418e-05
 8.79830246e-06 4.70847031e-03 7.20954134e-05 1.07881685e-08
 1.32017364e-03 1.48940867e-03 1.90755446e-05 1.89004559e-03
 8.06755085e-04 3.36269816e-06 1.10287908e-04 8.31541824e-05
 2.64676308e-02 2.12592488e-03 1.31118659e-08 7.11507895e-04
 1.02917236e-05 3.18171260e-02 1.26822204e-04 7.11507895e-04
 5.51757155e-04 7.42361542e-07 3.73964604e-04 1.64147482e-02
 3.36269816e-06 4.26159664e-04 1.73569175e-06 3.27832948e-04
 6.18553174e-12 7.20954134e-05 1.32017364e-03 7.11507895e-04
 5.40313022e-05 4.13773042e-08]","[0.01993114 0.81875363 0.04953464 0.03181713 0.09546732 0.02646763
 0.53390728 0.3490397  0.27423335 0.04953464 0.00212592 0.19796045
 0.02410401 0.61225166 0.09546732 0.77002924 0.03181713 0.02192948
 0.43609338 0.08151459 0.50859953 0.10315938 0.55967522 0.24148215
 0.00336895 0.07520917 0.02192948 0.17249627 0.63886042 0.17249627
 0.00132017 0.14969106 0.63886042 0.77002924 0.24148215 0.17249627
 0.08151459 0.48382277 0.17249627 0.16077182 0.10315938 0.00268159
 0.22624166 0.10315938 0.00895146 0.3490397  0.22624166 0.50859953
 0.18488568 0.3490397 ]",0.002704442799033362,0.23907481927041993,0.006854394777418616,0.23274704191111203
df1,0.35000000000000003,0.0,0.35000000000000003,"[2.85456402e-06 7.79334122e-10 4.03308445e-05 6.41076366e-06
 1.59199965e-08 1.92461767e-12 1.02917236e-05 2.59150246e-07
 2.12592488e-03 1.81007354e-07 1.10287908e-04 2.59150246e-07
 1.63732496e-05 1.26822204e-04 2.05084189e-06 8.81579698e-07
 6.24499263e-07 1.18065325e-09 6.41076366e-06 2.05084189e-06
 2.19534247e-04 5.51757155e-04 2.05084189e-06 2.83236331e-08
 3.69535722e-07 2.18488808e-09 8.06755085e-04 3.09615598e-07
 1.91681353e-04 8.06755085e-04 4.40608072e-07 1.04585220e-06
 3.47919250e-05 3.09615598e-07 2.38884447e-03 5.40313022e-05
 2.58137431e-05 1.03408932e-03 1.20265345e-05 8.06755085e-04
 4.99357648e-08 5.51757155e-04 4.67045972e-05 8.31541824e-05
 2.85456402e-06 1.90755446e-05 3.09615598e-07 3.09615598e-07
 2.99835482e-05 8.86732425e-09]","[8.82599083e-02 4.16212987e-02 1.97960446e-01 5.85821277e-01
 2.64676308e-02 2.19294824e-02 1.11358879e-01 1.34646549e-02
 3.29168072e-01 8.95145539e-03 2.64676308e-02 4.36093382e-01
 3.49039701e-01 4.36093382e-01 8.95145539e-03 2.41482152e-01
 1.60771824e-01 5.51757155e-04 7.70029237e-01 6.65529322e-01
 9.54673207e-02 4.13232440e-01 6.93218252e-02 2.90339156e-02
 3.48322136e-02 4.54286666e-02 7.52091658e-02 7.52091658e-02
 9.92823487e-03 5.33907283e-01 1.03159376e-01 4.95346404e-02
 1.97960446e-01 1.80967606e-02 5.85821277e-01 1.80967606e-02
 6.65529322e-01 3.49039701e-01 3.77043497e-03 3.29168072e-01
 8.15145929e-02 5.33907283e-01 2.41482152e-01 3.18171260e-02
 1.84885683e-01 3.29168072e-01 1.80967606e-02 1.60771824e-01
 1.03159376e-01 9.92823487e-03]",0.00020247262715762773,0.19832982144653893,0.0004886256033777097,0.21238418717684596
df1,0.4,0.0,0.4,"[1.80967606e-02 4.13773042e-08 1.04585220e-06 6.32216726e-10
 6.24445815e-05 3.27672622e-09 1.04585220e-06 8.86732425e-09
 3.73964604e-04 1.07881685e-08 5.46398884e-06 1.81007354e-07
 3.77043497e-03 2.67703473e-09 1.51046944e-07 1.31118659e-08
 4.67045972e-05 1.23948622e-06 9.79737413e-12 3.47919250e-05
 6.52148041e-03 7.28113471e-09 8.79830246e-06 4.00670801e-09
 4.65235514e-06 1.07881685e-08 8.79830246e-06 7.28113471e-09
 2.58137431e-05 4.89436847e-09 2.51182002e-04 5.46398884e-06
 1.91681353e-04 5.40313022e-05 4.89436847e-09 2.18772050e-10
 7.42361542e-07 1.07881685e-08 4.65235514e-06 1.40396435e-05
 8.81579698e-07 1.25918603e-07 5.12353012e-10 3.95729931e-06
 1.20265345e-05 1.46749215e-06 1.40396435e-05 3.95729931e-06
 2.33983459e-08 8.79830246e-06]","[0.45963725 0.01809676 0.1200888  0.00725489 0.1200888  0.0539576
 0.00470847 0.14969106 0.71851426 0.03809482 0.17249627 0.00421554
 0.27423335 0.00585634 0.07520917 0.04542867 0.3490397  0.00585634
 0.0416213  0.139232   0.0416213  0.24148215 0.16077182 0.12937218
 0.01993114 0.29176485 0.10315938 0.06383124 0.01993114 0.01993114
 0.17249627 0.00238884 0.00652148 0.09546732 0.0539576  0.01809676
 0.11135888 0.00895146 0.02410401 0.11135888 0.58582128 0.09546732
 0.00525377 0.02903392 0.0416213  0.03809482 0.14969106 0.01641475
 0.03483221 0.43609338]",0.0005906194706251494,0.11864286063671572,0.0027094225845256284,0.15343769663509527
df1,0.45,0.0,0.45,"[4.40608072e-07 6.02037032e-08 4.99357648e-08 6.02037032e-08
 3.69535722e-07 7.38137688e-11 1.31118659e-08 3.89102510e-17
 1.51920849e-12 2.42077577e-06 2.43574207e-12 2.81965513e-13
 1.31118659e-08 2.18772050e-10 1.25918603e-07 5.46398884e-06
 6.32216726e-10 2.59150246e-07 2.67703473e-09 3.95729931e-06
 1.18065325e-09 5.24820678e-07 1.25918603e-07 5.97265054e-09
 4.99357648e-08 5.92172623e-11 4.90739183e-12 2.05084189e-06
 1.73569175e-06 7.78867068e-12 2.16691945e-07 1.23948622e-06
 8.86732425e-09 7.51402754e-06 2.71047184e-10 7.51402754e-06
 1.31118659e-08 8.72433497e-08 4.99357648e-08 1.18065325e-09
 1.51046944e-07 1.45098666e-09 5.40313022e-05 4.03308445e-05
 4.03308445e-05 4.40608072e-07 4.99357648e-08 3.35473948e-10
 5.24820678e-07 5.97265054e-09]","[3.48322136e-02 1.20088801e-01 9.54673207e-02 1.48741570e-02
 1.34646549e-02 2.26241661e-01 2.38884447e-03 4.67045972e-05
 1.11358879e-01 1.16899447e-03 2.68158880e-03 5.51757155e-04
 1.49691056e-01 4.83822766e-01 1.16899447e-03 8.06268875e-03
 4.95346404e-02 1.29372179e-01 8.15145929e-02 3.10075730e-01
 9.92823487e-03 1.99311438e-02 1.21765095e-02 2.19294824e-02
 8.82599083e-02 2.41040115e-02 3.18171260e-02 3.48322136e-02
 4.21554189e-03 6.26876255e-04 2.11739817e-01 1.26822204e-04
 2.90339156e-02 2.68158880e-03 9.54673207e-02 3.48322136e-02
 3.48322136e-02 1.10005675e-02 4.21554189e-03 2.38884447e-03
 5.85821277e-01 1.32017364e-03 2.57475452e-01 4.70847031e-03
 1.84885683e-01 5.25376643e-03 6.93218252e-02 4.26159664e-04
 9.54673207e-02 1.72496272e-01]",3.404877770494423e-06,0.07775449034319153,1.0739830122817255e-05,0.12012511010107112
