delta,pval_base,pval,setting,gap
0.0,0.08,0.06,df1,0.020000000000000004
0.05,0.16,0.12,df1,0.04000000000000001
0.1,0.26,0.18,df1,0.08000000000000002
0.15000000000000002,0.42,0.04,df1,0.38
0.2,0.78,0.12,df1,0.66
0.25,0.92,0.02,df1,0.9
0.30000000000000004,0.96,0.08,df1,0.88
0.35000000000000003,1.0,0.04,df1,0.96
0.4,0.98,0.18,df1,0.8
0.45,1.0,0.14,df1,0.86
0.5,1.0,0.06,df1,0.94
0.55,1.0,0.12,df1,0.88
0.6000000000000001,1.0,0.16,df1,0.84
0.65,1.0,0.12,df1,0.88
0.7000000000000001,1.0,0.22,df1,0.78
0.75,1.0,0.18,df1,0.8200000000000001
0.8,1.0,0.08,df1,0.92
0.8500000000000001,1.0,0.08,df1,0.92
0.9,1.0,0.24,df1,0.76
0.9500000000000001,1.0,0.12,df1,0.88
1.0,1.0,0.22,df1,0.78
0.0,0.08,0.06,df2,0.020000000000000004
0.05,0.4,0.42,df2,-0.019999999999999962
0.1,0.84,0.84,df2,0.0
0.15000000000000002,0.98,1.0,df2,-0.020000000000000018
0.2,1.0,1.0,df2,0.0
0.25,1.0,1.0,df2,0.0
0.30000000000000004,1.0,1.0,df2,0.0
0.35000000000000003,1.0,1.0,df2,0.0
0.4,1.0,1.0,df2,0.0
0.45,1.0,1.0,df2,0.0
0.5,1.0,1.0,df2,0.0
0.55,1.0,1.0,df2,0.0
0.6000000000000001,1.0,1.0,df2,0.0
0.65,1.0,1.0,df2,0.0
0.7000000000000001,1.0,1.0,df2,0.0
0.75,1.0,1.0,df2,0.0
0.8,1.0,1.0,df2,0.0
0.8500000000000001,1.0,1.0,df2,0.0
0.9,1.0,1.0,df2,0.0
0.9500000000000001,1.0,1.0,df2,0.0
1.0,1.0,1.0,df2,0.0
0.0,1.0,1.0,df3,0.0
0.05,1.0,1.0,df3,0.0
0.1,1.0,1.0,df3,0.0
0.15000000000000002,1.0,1.0,df3,0.0
0.2,1.0,1.0,df3,0.0
0.25,1.0,1.0,df3,0.0
0.30000000000000004,1.0,1.0,df3,0.0
0.35000000000000003,1.0,1.0,df3,0.0
0.4,1.0,1.0,df3,0.0
0.45,1.0,1.0,df3,0.0
0.5,1.0,1.0,df3,0.0
0.55,1.0,1.0,df3,0.0
0.6000000000000001,1.0,1.0,df3,0.0
0.65,1.0,1.0,df3,0.0
0.7000000000000001,1.0,1.0,df3,0.0
0.75,1.0,1.0,df3,0.0
0.8,1.0,1.0,df3,0.0
0.8500000000000001,1.0,1.0,df3,0.0
0.9,1.0,1.0,df3,0.0
0.9500000000000001,1.0,1.0,df3,0.0
1.0,1.0,1.0,df3,0.0
