setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[0.71851426 0.39108739 0.17249627 0.31007573 0.90235528 0.41323244
 0.45963725 0.91946676 0.36968362 0.8633028  0.50859953 0.12937218
 0.77002924 0.98457739 0.88359176 0.58582128 0.77002924 0.88359176
 0.79482654 0.55967522 0.77002924 0.41323244 0.1200888  0.55967522
 0.79482654 0.01346465 0.88359176 0.36968362 0.96996014 0.93482727
 0.98457739 0.01809676 0.48382277 0.94837208 0.74453538 0.94837208
 0.02646763 0.74453538 0.61225166 0.12937218 0.74453538 0.97808957
 0.1200888  0.10315938 0.96007647 0.90235528 0.39108739 0.71851426
 0.81875363 0.21173982]","[0.22624166 0.81875363 0.16077182 0.139232   0.77002924 0.88359176
 0.77002924 0.66552932 0.88359176 0.29176485 0.21173982 0.24148215
 0.31007573 0.71851426 0.91946676 0.63886042 0.96007647 0.74453538
 0.27423335 0.84163603 0.3490397  0.17249627 0.32916807 0.22624166
 0.74453538 0.139232   0.36968362 0.41323244 0.90235528 0.96996014
 0.97808957 0.03181713 0.48382277 0.41323244 0.77002924 0.74453538
 0.06383124 0.69212796 0.88359176 0.22624166 0.74453538 0.88359176
 0.06932183 0.08151459 0.93482727 0.79482654 0.88359176 0.61225166
 0.8633028  0.25747545]",0.5961629778198742,0.5499731674773417,0.31125655492911614,0.3078611656565245
df1,0.05,0.0,0.05,"[0.41323244 0.14969106 0.81875363 0.10315938 0.22624166 0.84163603
 0.31007573 0.00895146 0.19796045 0.14969106 0.71851426 0.16077182
 0.55967522 0.31007573 0.74453538 0.48382277 0.3490397  0.29176485
 0.8633028  0.71851426 0.32916807 0.84163603 0.74453538 0.31007573
 0.88359176 0.94837208 0.08151459 0.01100057 0.98957839 0.39108739
 0.22624166 0.02192948 0.79482654 0.01487416 0.48382277 0.94837208
 0.81875363 0.00470847 0.93482727 0.58582128 0.3490397  0.21173982
 0.36968362 0.94837208 0.27423335 0.58582128 0.14969106 0.53390728
 0.43609338 0.96007647]","[0.53390728 0.06383124 0.79482654 0.16077182 0.63886042 0.90235528
 0.09546732 0.03483221 0.24148215 0.53390728 0.88359176 0.10315938
 0.24148215 0.139232   0.69212796 0.39108739 0.45963725 0.63886042
 0.39108739 0.24148215 0.19796045 0.12937218 0.58582128 0.58582128
 0.91946676 0.43609338 0.58582128 0.1200888  0.14969106 0.94837208
 0.139232   0.01346465 0.8633028  0.63886042 0.74453538 0.53390728
 0.71851426 0.03483221 0.58582128 0.77002924 0.79482654 0.03181713
 0.03483221 0.58582128 0.09546732 0.69212796 0.53390728 0.45963725
 0.58582128 0.63886042]",0.47205610070107284,0.44672232271803813,0.3127146720878384,0.28680299968804307
df1,0.1,0.0,0.1,"[0.08151459 0.08825991 0.03483221 0.39108739 0.09546732 0.1200888
 0.29176485 0.69212796 0.69212796 0.03809482 0.19796045 0.79482654
 0.09546732 0.63886042 0.01487416 0.50859953 0.36968362 0.43609338
 0.08825991 0.84163603 0.41323244 0.81875363 0.18488568 0.36968362
 0.31007573 0.99765093 0.14969106 0.22624166 0.69212796 0.27423335
 0.41323244 0.91946676 0.69212796 0.69212796 0.69212796 0.09546732
 0.55967522 0.66552932 0.91946676 0.19796045 0.10315938 0.32916807
 0.12937218 0.31007573 0.94837208 0.14969106 0.8633028  0.50859953
 0.91946676 0.00132017]","[2.64676308e-02 5.87165796e-02 4.13232440e-01 8.63302804e-01
 6.65529322e-01 1.97960446e-01 4.70847031e-03 8.18753631e-01
 1.84885683e-01 1.48741570e-02 6.12251659e-01 2.91764847e-01
 2.57475452e-01 4.13232440e-01 6.52148041e-03 4.13232440e-01
 3.48322136e-02 6.92127962e-01 1.10287908e-04 5.08599525e-01
 9.84577388e-01 8.63302804e-01 5.87165796e-02 8.18753631e-01
 6.38312357e-02 4.36093382e-01 6.92127962e-01 6.12251659e-01
 7.18514257e-01 1.20088801e-01 5.33907283e-01 2.41482152e-01
 2.11739817e-01 8.18753631e-01 4.95346404e-02 5.59675216e-01
 5.85821277e-01 3.29168072e-01 7.18514257e-01 3.49039701e-01
 7.18514257e-01 5.59675216e-01 1.03408932e-03 4.59637254e-01
 7.18514257e-01 4.95346404e-02 9.02355278e-01 3.10075730e-01
 4.36093382e-01 3.00718998e-03]",0.421158262613647,0.4080582902133533,0.3031726388722557,0.29931756999644804
df1,0.15000000000000002,0.0,0.15000000000000002,"[0.93482727 0.96996014 0.36968362 0.66552932 0.90235528 0.74453538
 0.63886042 0.04542867 0.50859953 0.84163603 0.55967522 0.43609338
 0.96996014 0.24148215 0.69212796 0.22624166 0.74453538 0.84163603
 0.93482727 0.79482654 0.98457739 0.96007647 0.36968362 0.58582128
 0.96007647 0.61225166 0.41323244 0.88359176 0.84163603 0.63886042
 0.55967522 0.43609338 0.99589898 0.58582128 0.58582128 0.48382277
 0.69212796 0.36968362 0.41323244 0.05871658 0.74453538 0.31007573
 0.17249627 0.0539576  0.02903392 0.63886042 0.48382277 0.97808957
 0.58582128 0.08825991]","[2.19294824e-02 4.83822766e-01 6.65529322e-01 6.92127962e-01
 8.15145929e-02 3.29168072e-01 6.38860419e-01 1.89004559e-03
 7.94826541e-01 4.54286666e-02 4.16212987e-02 6.93218252e-02
 7.52091658e-02 1.21765095e-02 4.83822766e-01 5.25376643e-03
 6.65529322e-01 1.84885683e-01 7.52091658e-02 1.39231997e-01
 1.39231997e-01 1.49691056e-01 9.93281626e-01 3.49039701e-01
 1.97960446e-01 1.72496272e-01 5.59675216e-01 1.16899447e-03
 4.83822766e-01 2.41482152e-01 9.54673207e-02 4.21554189e-03
 2.11739817e-01 4.21554189e-03 2.91764847e-01 5.87165796e-02
 4.36093382e-01 4.83822766e-01 4.36093382e-01 1.45688880e-04
 7.18514257e-01 7.70029237e-01 1.48741570e-02 8.95145539e-03
 1.04585220e-06 1.03159376e-01 4.59637254e-01 2.57475452e-01
 2.90339156e-02 5.85633896e-03]",0.5915695051438731,0.26370033897895423,0.2834978319924808,0.26704309822396227
df1,0.2,0.0,0.2,"[0.55967522 0.3490397  0.02192948 0.3490397  0.58582128 0.0539576
 0.43609338 0.08151459 0.16077182 0.3490397  0.19796045 0.90235528
 0.1200888  0.24148215 0.91946676 0.79482654 0.74453538 0.11135888
 0.24148215 0.8633028  0.36968362 0.94837208 0.96007647 0.24148215
 0.69212796 0.69212796 0.32916807 0.71851426 0.22624166 0.05871658
 0.63886042 0.74453538 0.06932183 0.77002924 0.3490397  0.04542867
 0.27423335 0.53390728 0.39108739 0.58582128 0.08825991 0.24148215
 0.36968362 0.07520917 0.41323244 0.8633028  0.24148215 0.90235528
 0.32916807 0.36968362]","[1.34646549e-02 1.80967606e-02 5.59675216e-01 9.92823487e-03
 8.95145539e-03 3.49039701e-01 1.10005675e-02 7.52091658e-02
 3.00718998e-03 7.52091658e-02 2.19534247e-04 1.99311438e-02
 6.52148041e-03 1.60771824e-01 3.29168072e-01 8.82599083e-02
 9.58129418e-05 1.48940867e-03 8.95145539e-03 2.68158880e-03
 2.41040115e-02 8.06268875e-03 3.69683622e-01 5.08599525e-01
 2.68158880e-03 7.52091658e-02 3.80948244e-02 2.90339156e-02
 8.83591758e-01 9.54673207e-02 1.32017364e-03 1.45688880e-04
 1.03159376e-01 6.52148041e-03 1.03408932e-03 1.16899447e-03
 8.31541824e-05 7.25488863e-03 3.80948244e-02 4.21554189e-03
 2.12592488e-03 3.95729931e-06 1.89004559e-03 1.26822204e-04
 2.87103585e-04 4.70847031e-03 1.11358879e-01 1.11358879e-01
 3.36894521e-03 5.08599525e-01]",0.4323275246849566,0.09366055051133312,0.28678661947516093,0.18114179842136577
df1,0.25,0.0,0.25,"[0.63886042 0.18488568 0.43609338 0.90235528 0.71851426 0.55967522
 0.94837208 0.36968362 0.93482727 0.97808957 0.69212796 0.48382277
 0.53390728 0.22624166 0.69212796 0.48382277 0.74453538 0.77002924
 0.69212796 0.98957839 0.21173982 0.32916807 0.16077182 0.36968362
 0.90235528 0.71851426 0.63886042 0.31007573 0.88359176 0.79482654
 0.32916807 0.77002924 0.00895146 0.74453538 0.08825991 0.08151459
 0.79482654 0.21173982 0.88359176 0.36968362 0.50859953 0.91946676
 0.1200888  0.88359176 0.50859953 0.8633028  0.91946676 0.36968362
 0.58582128 0.81875363]","[2.38884447e-03 1.67194217e-04 2.59150246e-07 5.39576008e-02
 2.12592488e-03 1.32017364e-03 2.12592488e-03 9.13835051e-04
 9.13835051e-04 3.48322136e-02 3.36894521e-03 7.11507895e-04
 2.19294824e-02 5.59675216e-01 3.00718998e-03 1.67865304e-03
 6.93218252e-02 4.16212987e-02 1.99311438e-02 3.77043497e-03
 2.22014992e-05 1.89004559e-03 3.73964604e-04 5.85633896e-03
 2.87103585e-04 8.06268875e-03 1.29372179e-01 1.03159376e-01
 3.69683622e-01 8.06755085e-04 9.92823487e-03 1.80967606e-02
 2.99835482e-05 1.48741570e-02 2.19534247e-04 1.63732496e-05
 4.85152370e-04 9.13835051e-04 3.36894521e-03 5.40313022e-05
 7.20954134e-05 8.15145929e-02 3.36269816e-06 3.48322136e-02
 5.85633896e-03 4.16212987e-02 6.38312357e-02 8.31541824e-05
 2.38884447e-03 9.54673207e-02]",0.5815788062051758,0.03633866486144599,0.28018623766211687,0.09449184779113816
df1,0.30000000000000004,0.0,0.30000000000000004,"[5.85821277e-01 8.63302804e-01 5.33907283e-01 4.54286666e-02
 4.59637254e-01 9.19466758e-01 8.82599083e-02 9.60076470e-01
 9.78089566e-01 7.52091658e-02 3.91087390e-01 5.85821277e-01
 5.85821277e-01 4.13232440e-01 8.18753631e-01 6.65529322e-01
 3.91087390e-01 9.69960143e-01 7.18514257e-01 3.48322136e-02
 9.34827271e-01 8.83591758e-01 6.65529322e-01 7.70029237e-01
 4.36093382e-01 6.38860419e-01 1.20088801e-01 8.63302804e-01
 1.49691056e-01 7.94826541e-01 1.21765095e-02 4.13232440e-01
 7.94826541e-01 2.91764847e-01 5.59675216e-01 8.41636027e-01
 8.41636027e-01 8.63302804e-01 9.78089566e-01 9.89578389e-01
 8.83591758e-01 8.83591758e-01 2.26241661e-01 1.29372179e-01
 2.19534247e-04 9.19466758e-01 8.18753631e-01 2.11739817e-01
 7.44535382e-01 8.83591758e-01]","[4.03308445e-05 5.25376643e-03 2.41040115e-02 5.40313022e-05
 1.64147482e-02 1.32017364e-03 1.40396435e-05 7.25488863e-03
 1.16899447e-03 1.25918603e-07 3.27832948e-04 1.67194217e-04
 2.51182002e-04 1.11358879e-01 2.41040115e-02 9.13835051e-04
 4.03308445e-05 5.87165796e-02 9.13835051e-04 6.24499263e-07
 3.77043497e-03 5.85633896e-03 2.87103585e-04 1.67865304e-03
 4.21554189e-03 1.02917236e-05 2.19534247e-04 6.52148041e-03
 6.52148041e-03 7.25488863e-03 7.42361542e-07 3.18171260e-02
 2.58137431e-05 3.69683622e-01 9.13835051e-04 3.00718998e-03
 1.32017364e-03 1.45688880e-04 1.21765095e-02 4.54286666e-02
 6.26876255e-04 3.27832948e-04 5.40313022e-05 2.87103585e-04
 4.74591296e-11 9.13835051e-04 8.06268875e-03 6.52148041e-03
 1.48741570e-02 1.91681353e-04]",0.5925540337280963,0.015702684352440863,0.31715771732139114,0.053939880682279034
df1,0.35000000000000003,0.0,0.35000000000000003,"[0.1200888  0.3490397  0.66552932 0.48382277 0.50859953 0.02646763
 0.69212796 0.61225166 0.74453538 0.45963725 0.27423335 0.32916807
 0.19796045 0.93482727 0.1200888  0.77002924 0.79482654 0.00148941
 0.19796045 0.55967522 0.77002924 0.53390728 0.08825991 0.32916807
 0.31007573 0.18488568 0.53390728 0.24148215 0.36968362 0.36968362
 0.25747545 0.93482727 0.63886042 0.45963725 0.29176485 0.61225166
 0.96996014 0.36968362 0.1200888  0.41323244 0.16077182 0.53390728
 0.66552932 0.79482654 0.69212796 0.71851426 0.3490397  0.18488568
 0.55967522 0.24148215]","[1.51046944e-07 7.28113471e-09 4.21554189e-03 3.27832948e-04
 2.22014992e-05 2.67703473e-09 4.85152370e-04 1.23948622e-06
 1.34646549e-02 8.81579698e-07 4.85152370e-04 6.41076366e-06
 4.26159664e-04 3.36894521e-03 4.65235514e-06 1.02917236e-05
 2.51182002e-04 4.74591296e-11 2.68158880e-03 1.45688880e-04
 1.89004559e-03 1.80967606e-02 1.25918603e-07 2.05084189e-06
 2.87103585e-04 2.85456402e-06 1.10005675e-02 1.40396435e-05
 1.48940867e-03 1.21765095e-02 3.47919250e-05 2.22014992e-05
 5.51757155e-04 1.40396435e-05 1.34646549e-02 4.03308445e-05
 8.79830246e-06 1.67194217e-04 4.67045972e-05 7.52091658e-02
 4.65235514e-06 1.89004559e-03 3.47919250e-05 2.87103585e-04
 7.20954134e-05 2.19534247e-04 8.81579698e-07 2.58137431e-05
 1.32017364e-03 5.24820678e-07]",0.45083966461242947,0.003285449193906738,0.2509731910054483,0.011067878634986728
df1,0.4,0.0,0.4,"[0.09546732 0.79482654 0.55967522 0.01809676 0.31007573 0.43609338
 0.17249627 0.27423335 0.29176485 0.48382277 0.39108739 0.27423335
 0.04953464 0.16077182 0.24148215 0.58582128 0.139232   0.96007647
 0.0416213  0.08825991 0.14969106 0.50859953 0.58582128 0.63886042
 0.43609338 0.1200888  0.45963725 0.06932183 0.77002924 0.58582128
 0.8633028  0.99765093 0.06932183 0.63886042 0.66552932 0.88359176
 0.93482727 0.25747545 0.93482727 0.58582128 0.18488568 0.45963725
 0.19796045 0.55967522 0.29176485 0.17249627 0.0416213  0.48382277
 0.29176485 0.48382277]","[6.52148041e-03 1.04585220e-06 2.12592488e-03 6.02037032e-08
 9.92823487e-03 3.09615598e-07 2.16691945e-07 8.81579698e-07
 2.68158880e-03 8.81579698e-07 2.99835482e-05 3.95729931e-06
 1.97960446e-01 2.33983459e-08 1.40396435e-05 2.42077577e-06
 3.27832948e-04 7.42361542e-07 3.35473948e-10 4.16212987e-02
 1.10005675e-02 8.72433497e-08 3.27832948e-04 2.59150246e-07
 1.90755446e-05 7.25098046e-08 3.36269816e-06 1.81007354e-07
 8.31541824e-05 1.04585220e-06 9.92823487e-03 6.24445815e-05
 1.48940867e-03 9.58129418e-05 1.51046944e-07 3.47919250e-05
 2.05084189e-06 3.27672622e-09 6.41076366e-06 4.26159664e-04
 3.95729931e-06 2.05084189e-06 4.13773042e-08 4.65235514e-06
 4.40608072e-07 2.16691945e-07 2.22014992e-05 3.36269816e-06
 1.51046944e-07 8.06755085e-04]",0.4138259252830017,0.005710926120217737,0.2793716884193639,0.02816580131392993
df1,0.45,0.0,0.45,"[0.77002924 0.71851426 0.69212796 0.77002924 0.3490397  0.36968362
 0.18488568 0.01487416 0.00992823 0.66552932 0.10315938 0.02903392
 0.66552932 0.18488568 0.81875363 0.10315938 0.74453538 0.79482654
 0.55967522 0.39108739 0.77002924 0.22624166 0.61225166 0.8633028
 0.36968362 0.18488568 0.03181713 0.99589898 0.21173982 0.39108739
 0.79482654 0.17249627 0.71851426 0.43609338 0.16077182 0.58582128
 0.48382277 0.71851426 0.39108739 0.29176485 0.22624166 0.14969106
 0.09546732 0.03181713 0.88359176 0.71851426 0.63886042 0.1200888
 0.61225166 0.77002924]","[6.24445815e-05 7.25098046e-08 2.16691945e-07 3.47919250e-05
 1.67194217e-04 4.99357648e-08 1.25918603e-07 2.33262567e-14
 1.05328756e-13 3.27832948e-04 1.93824891e-11 6.18553174e-12
 2.59150246e-07 1.46749215e-06 1.23948622e-06 1.45688880e-04
 2.59150246e-07 1.45688880e-04 5.24820678e-07 1.63732496e-05
 3.69535722e-07 8.79830246e-06 1.04864874e-07 2.83236331e-08
 4.00670801e-09 9.59715417e-10 9.59715417e-10 9.58129418e-05
 5.24820678e-07 5.12353012e-10 1.23948622e-06 1.73569175e-06
 7.25098046e-08 1.45688880e-04 1.78141737e-09 7.20954134e-05
 1.25918603e-07 3.36269816e-06 4.00670801e-09 4.40608072e-07
 6.41076366e-06 4.13773042e-08 1.16899447e-03 4.67045972e-05
 2.85456402e-06 4.67045972e-05 2.05084189e-06 4.00670801e-09
 4.65235514e-06 6.24499263e-07]",0.45192982652273345,5.0273683217815606e-05,0.2880683293736356,0.00017108898116117364
