setting,delta,mu1,mu2,pval,pval_base,ks_p_prop_mean,ks_p_base_mean,ks_p_prop_std,ks_p_base_std
df1,0.0,0.0,0.0,"[1.         1.         1.         1.         1.         1.
 0.99973335 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99999965 0.99999965 0.99989681 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99999996 1.         1.         1.
 1.         1.         1.         0.99999996 1.         0.99999996
 0.99999996 1.         1.         1.         1.         1.
 1.         1.        ]","[0.99765093 0.69212796 0.61225166 0.55967522 0.29176485 0.77002924
 0.17249627 0.36968362 0.00470847 0.79482654 0.88359176 0.27423335
 0.43609338 0.32916807 0.3490397  0.45963725 0.24148215 0.77002924
 0.79482654 0.36968362 0.17249627 0.97808957 0.45963725 0.21173982
 0.61225166 0.04953464 0.55967522 0.50859953 0.81875363 0.32916807
 0.88359176 0.05871658 0.77002924 0.29176485 0.96007647 0.43609338
 0.00336895 0.02646763 0.77002924 0.17249627 0.48382277 0.32916807
 0.41323244 0.50859953 0.77002924 0.91946676 0.61225166 0.48382277
 0.84163603 0.0539576 ]",0.9999925859134173,0.49323133360492216,3.974993362904861e-05,0.28567614122539636
df1,0.05,0.0,0.05,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.99999996
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.9999979  1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99996567 1.         1.
 0.9999905  1.         1.         1.         1.         1.
 0.99999965 1.        ]","[0.63886042 0.77002924 0.04953464 0.61225166 0.01641475 0.22624166
 0.81875363 0.69212796 0.18488568 0.07520917 0.74453538 0.48382277
 0.74453538 0.84163603 0.53390728 0.29176485 0.39108739 0.39108739
 0.48382277 0.04542867 0.11135888 0.18488568 0.69212796 0.08151459
 0.61225166 0.12937218 0.08151459 0.06932183 0.48382277 0.17249627
 0.32916807 0.00336895 0.12937218 0.04542867 0.12937218 0.43609338
 0.19796045 0.08825991 0.74453538 0.32916807 0.03809482 0.43609338
 0.14969106 0.02410401 0.3490397  0.74453538 0.02646763 0.16077182
 0.43609338 0.16077182]",0.9999990734462461,0.3322598672496593,4.961140150842583e-06,0.2622528654252178
df1,0.1,0.0,0.1,"[1.         1.         1.         0.9999979  1.         1.
 1.         1.         1.         1.         1.         0.99999996
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99996567 0.99999996 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.99999996 1.         1.         1.         1.         1.
 1.         1.         1.         0.99999965 0.99875113 1.
 1.         0.9999979 ]","[1.39231997e-01 6.12251659e-01 1.64147482e-02 2.41040115e-02
 3.80948244e-02 2.87103585e-04 2.91764847e-01 1.20088801e-01
 8.82599083e-02 7.18514257e-01 2.38884447e-03 2.57475452e-01
 2.87103585e-04 6.38312357e-02 5.87165796e-02 5.87165796e-02
 3.80948244e-02 4.03308445e-05 1.20088801e-01 7.94826541e-01
 9.92823487e-03 8.15145929e-02 1.03408932e-03 1.34646549e-02
 1.60771824e-01 8.15145929e-02 1.60771824e-01 1.99311438e-02
 2.41040115e-02 2.19294824e-02 4.16212987e-02 1.64147482e-02
 1.21765095e-02 1.20088801e-01 9.13835051e-04 7.52091658e-02
 8.15145929e-02 2.74233349e-01 1.84885683e-01 8.82599083e-02
 7.25488863e-03 6.26876255e-04 2.90339156e-02 6.12251659e-01
 2.68158880e-03 5.59675216e-01 1.03159376e-01 1.72496272e-01
 1.48741570e-02 5.59675216e-01]",0.9999742426067921,0.13950979913439668,0.00017479648028519411,0.20137039970095727
df1,0.15000000000000002,0.0,0.15000000000000002,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99999965 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.99989681
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.45688880e-04 6.93218252e-02 5.51757155e-04 2.68158880e-03
 6.52148041e-03 1.67865304e-03 2.38884447e-03 3.36894521e-03
 1.67194217e-04 5.85633896e-03 9.92823487e-03 8.06268875e-03
 1.67194217e-04 8.15145929e-02 7.11507895e-04 1.99311438e-02
 1.49691056e-01 2.12592488e-03 8.06268875e-03 4.95346404e-02
 4.70847031e-03 4.21554189e-03 6.26876255e-04 4.67045972e-05
 4.95346404e-02 1.21765095e-02 2.51182002e-04 1.10005675e-02
 1.26822204e-04 4.95346404e-02 2.68158880e-03 1.32017364e-03
 1.67865304e-03 2.38884447e-03 5.39576008e-02 1.02917236e-05
 1.10005675e-02 4.54286666e-02 3.77043497e-03 9.92823487e-03
 4.21554189e-03 9.58129418e-05 4.54286666e-02 3.80948244e-02
 6.52148041e-03 1.99311438e-02 2.51182002e-04 1.10005675e-02
 1.20088801e-01 2.57475452e-01]",0.9999979291038454,0.023798049456273885,1.444513885502473e-05,0.04560286293339328
df1,0.2,0.0,0.2,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99875113 1.         0.99999996 0.99989681
 1.         0.9999905  1.         1.         0.99999965 1.
 1.         1.         1.         1.         1.         1.
 0.99328163 1.         1.         1.         1.         1.
 0.99999965 1.         0.99765093 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.99973335 1.
 1.         0.99999996]","[2.19534247e-04 1.48940867e-03 1.23948622e-06 8.95145539e-03
 3.36894521e-03 4.89436847e-09 5.51757155e-04 3.47919250e-05
 3.77043497e-03 7.25098046e-08 3.48322136e-02 5.51757155e-04
 1.32017364e-03 1.02917236e-05 2.19534247e-04 3.27832948e-04
 1.93100400e-08 4.85152370e-04 2.87103585e-04 2.51182002e-04
 1.40396435e-05 1.03408932e-03 6.26876255e-04 4.65235514e-06
 6.26876255e-04 1.90755446e-05 8.06755085e-04 2.51182002e-04
 2.99835482e-05 2.51182002e-04 2.05084189e-06 2.85456402e-06
 1.90755446e-05 9.58129418e-05 1.91681353e-04 1.20088801e-01
 9.92823487e-03 5.85633896e-03 2.19534247e-04 4.85152370e-04
 3.00718998e-03 2.38884447e-03 1.91681353e-04 1.99311438e-02
 1.45688880e-04 6.24445815e-05 4.70847031e-03 3.27832948e-04
 9.58129418e-05 1.45688880e-04]",0.9997860711147151,0.004564639041420091,0.0010000794138908455,0.017477904564804494
df1,0.25,0.0,0.25,"[1.         0.99999996 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99999996 1.         1.         1.         1.
 1.         1.         1.         0.9999979  1.         0.99999965
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99999965 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.40396435e-05 2.64676308e-02 3.42511079e-08 1.23948622e-06
 2.22014992e-05 2.33983459e-08 4.40608072e-07 2.51182002e-04
 4.03308445e-05 5.40313022e-05 4.67045972e-05 7.79334122e-10
 1.45688880e-04 1.04585220e-06 4.03308445e-05 3.09615598e-07
 1.91681353e-04 4.67045972e-05 5.25376643e-03 2.99835482e-05
 6.24499263e-07 5.40313022e-05 1.48940867e-03 1.67194217e-04
 1.93824891e-11 1.23948622e-06 3.47919250e-05 3.69535722e-07
 2.19534247e-04 6.32216726e-10 2.22014992e-05 2.68158880e-03
 7.25488863e-03 3.47919250e-05 3.47919250e-05 3.36894521e-03
 1.81007354e-07 4.40608072e-07 6.24499263e-07 1.40396435e-05
 2.22014992e-05 3.09615598e-07 1.48940867e-03 2.16691945e-07
 4.85152370e-04 5.97265054e-09 4.67045972e-05 4.85152370e-04
 2.58137431e-05 5.51757155e-04]",0.9999999423672454,0.0010218756265078135,2.9941670493090485e-07,0.0038795153085050766
df1,0.30000000000000004,0.0,0.30000000000000004,"[1.         1.         1.         1.         1.         1.
 1.         0.99999965 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.04864874e-07 7.25098046e-08 4.99357648e-08 2.58137431e-05
 4.14795066e-10 5.46398884e-06 2.85456402e-06 3.27672622e-09
 3.27672622e-09 1.04864874e-07 4.67045972e-05 6.02037032e-08
 6.18553174e-12 1.31118659e-08 2.05084189e-06 5.51757155e-04
 6.24499263e-07 1.07881685e-08 1.63732496e-05 1.20265345e-05
 2.83236331e-08 4.67045972e-05 1.02917236e-05 4.14795066e-10
 1.59199965e-08 2.83236331e-08 2.85456402e-06 1.59199965e-08
 8.21358136e-14 4.40608072e-07 3.77043497e-03 7.28113471e-09
 3.03909276e-11 2.83236331e-08 2.67703473e-09 1.20265345e-05
 2.16691945e-07 4.89436847e-09 1.31118659e-08 5.40313022e-05
 3.35473948e-10 2.18488808e-09 5.24820678e-07 1.04864874e-07
 2.90339156e-02 6.24499263e-07 2.33983459e-08 2.33983459e-08
 1.04864874e-07 1.04864874e-07]",0.9999999928247257,0.0006719333486417793,4.8897905844060303e-08,0.004086374459007051
df1,0.35000000000000003,0.0,0.35000000000000003,"[0.9999905  1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99973335 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[4.89436847e-09 9.79737413e-12 3.88941584e-12 1.04864874e-07
 9.59715417e-10 7.28113471e-09 2.71047184e-10 5.83855471e-13
 7.25098046e-08 2.81965513e-13 1.72684385e-13 1.42091476e-10
 1.51046944e-07 1.76400398e-10 1.23948622e-06 2.42826791e-11
 1.93824891e-11 1.45098666e-09 1.39985076e-14 1.18065325e-09
 2.18488808e-09 4.00670801e-09 2.58137431e-05 2.83236331e-08
 1.07881685e-08 1.14339735e-10 1.23116467e-11 3.69535722e-07
 3.42511079e-08 2.20772463e-13 1.63732496e-05 3.27672622e-09
 1.14339735e-10 3.79972059e-11 1.23116467e-11 1.54554888e-11
 9.19151252e-11 4.13773042e-08 1.23948622e-06 3.03909276e-11
 7.28113471e-09 1.51046944e-07 1.23948622e-06 2.71047184e-10
 9.79737413e-12 1.54554888e-11 3.35473948e-10 2.42077577e-06
 3.83661921e-15 1.45098666e-09]",0.9999944768091333,9.865129603336994e-07,3.7327918014502324e-05,4.234250334224557e-06
df1,0.4,0.0,0.4,"[1.         1.         1.         0.99999996 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99589898 0.99999996 1.         0.99999996 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[7.78867068e-12 3.07948375e-12 4.97944383e-14 7.51402754e-06
 6.45842239e-15 7.78867068e-12 2.42826791e-11 1.07881685e-08
 1.39985076e-14 3.03909276e-11 4.05057199e-18 7.38137688e-11
 7.17482117e-18 3.07948375e-12 1.59199965e-08 5.83855471e-13
 2.33262567e-14 2.20772463e-13 9.43717929e-13 1.33749750e-15
 1.67853513e-17 5.83855471e-13 6.24499263e-07 9.19151252e-11
 1.78141737e-09 7.79334122e-10 1.93824891e-11 8.86732425e-09
 1.72684385e-13 2.18772050e-10 3.89102510e-17 3.00652497e-14
 2.03413945e-16 4.74591296e-11 2.42826791e-11 1.51920849e-12
 6.78067547e-17 2.43574207e-12 6.45842239e-15 6.00359848e-16
 4.74591296e-11 3.95007214e-19 1.34933703e-13 2.42826791e-11
 1.93824891e-11 2.67024896e-16 3.03881495e-18 1.34933703e-13
 7.28113471e-09 6.18553174e-12]",0.999917977048309,1.6369200775746285e-07,0.0005741426998996221,1.0536732025857677e-06
df1,0.45,0.0,0.45,"[1.         1.         1.         1.         1.         1.
 1.         0.99939196 1.         0.99999965 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.9999979  1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.9999979  1.         1.         1.
 1.         1.         1.         1.         1.         0.9999905
 1.         1.        ]","[1.72684385e-13 1.05328756e-13 6.39848579e-14 1.08277464e-14
 6.18553174e-12 1.67853513e-17 7.84899525e-16 7.79334122e-10
 7.38137688e-11 2.22374207e-17 1.39985076e-14 1.14339735e-10
 2.66308246e-20 3.35473948e-10 7.11203305e-19 3.40355762e-22
 6.42340318e-22 6.45842239e-15 2.33262567e-14 3.27672622e-09
 2.95255083e-15 1.05328756e-13 1.80794013e-14 9.31581113e-25
 2.03413945e-16 3.88941584e-12 2.03413945e-16 4.58538879e-13
 9.52846065e-19 2.94303610e-17 1.44619791e-20 6.60370667e-20
 3.87118023e-14 4.21288896e-21 1.51920849e-12 4.21288896e-21
 2.22374207e-17 1.05328756e-13 8.92004797e-20 1.92461767e-12
 6.83217462e-23 1.93824891e-11 1.67853513e-17 1.30432533e-24
 1.54554888e-11 1.34933703e-13 2.93930826e-19 1.54554888e-11
 9.52846065e-19 3.83661921e-15]",0.9999875583105571,9.289531314577824e-11,8.509597611628475e-05,4.699956889752945e-10
